  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
115,FIRSTSBANK,8.5,8.5,8.3,8.5,8.3,0.2,153,5.51,"653,106"
116,FUWANGCER,11.3,11.5,10.8,11.2,10.9,0.4,168,1.855,"165,612"
117,FUWANGFOOD,19.9,20.3,18.7,19.9,18.6,1.3,730,31.3,"1,592,827"
118,GBBPOWER,17.8,17.9,16.7,17.8,16.9,0.9,345,7.93,"455,087"
119,GEMINISEA,264.8,282,250,269.6,262.1,2.7,143,2.768,"10,447"
120,GENNEXT,11.5,11.7,11.3,11.5,11.3,0.2,500,9.78,"850,181"
121,GHAIL,18.7,18.7,17.2,18.7,17,1.7,313,4.173,"231,430"
122,GHCL,32.5,32.9,31,32.6,31.9,0.6,64,2.113,"65,035"
123,GLAXOSMITH,"1,650","1,650","1,600","1,640.20","1,638.50",11.5,22,0.715,436
124,GLOBALINS,12.7,13.7,12.6,12.9,12.8,-0.1,60,0.384,"29,700"
125,GOLDENSON,28.2,28.3,26.2,28.1,26.1,2.1,928,19.805,"724,985"
