  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
68,BXSYNTH,10.7,11,10.7,10.7,10.9,-0.2,48,0.56,"51,865"
69,CENTRALINS,23,23.2,21.6,23,22.5,0.5,13,0.092,"4,017"
70,CENTRALPHL,26.4,26.7,26.3,26.5,26.4,0,126,2.029,"76,586"
71,CITYBANK,20.8,20.9,20.6,20.8,20.8,0,226,7.526,"362,629"
72,CITYGENINS,16.4,16.9,16.3,16.4,16.7,-0.3,42,0.377,"22,879"
73,CMCKAMAL,16.4,16.7,16.2,16.3,16.6,-0.2,228,4.228,"257,444"
74,CNATEX,18.5,18.9,18,18.4,18.2,0.3,534,15.897,"855,113"
75,CONFIDCEM,99.1,101,99,99.4,99.9,-0.8,159,2.932,"29,440"
76,CONTININS,17.4,17.8,16.4,17.2,17,0.4,13,0.063,"3,649"
77,CVOPRL,464.9,470.5,464.5,465.3,467.2,-2.3,764,17.909,"38,386"
78,DACCADYE,13.6,14.2,13.5,13.5,13.6,0,104,1.213,"89,432"
79,DAFODILCOM,13.1,13.1,13,13,13.2,-0.1,8,0.062,"4,727"
80,DBH,75.9,77,75.5,76,76.5,-0.6,13,0.383,"5,036"
81,DBH1STMF,4.5,4.5,4.5,4.5,4.6,-0.1,12,0.14,"31,000"
82,DELTALIFE,152.6,154,151.6,153.3,151.3,1.3,539,14.268,"93,393"
83,DELTASPINN,12.2,12.4,12.2,12.3,12.3,-0.1,156,3.896,"315,962"
84,DESCO,63.9,64.8,63.8,63.9,63.9,0,197,6.793,"106,132"
85,DESHBANDHU,18.4,18.7,18.2,18.5,18.4,0,282,7.587,"412,415"
86,DHAKABANK,19.4,19.9,19.1,19.6,19.9,-0.5,57,0.901,"46,032"
87,DHAKAINS,22.4,24,22.4,22.7,22.6,-0.2,26,0.323,"14,175"
88,DSHGARME,82.8,85.3,82,83.1,82,0.8,179,3.086,"36,850"
89,DULAMIACOT,7.9,7.9,7.8,7.9,7.9,0,3,0.012,"1,500"
90,DUTCHBANGL,90.5,91,88,89.9,91,-0.5,169,7.14,"80,139"
91,EASTERNINS,29,30,28.2,29.6,28.6,0.4,10,0.193,"6,530"
92,EASTLAND,30.2,30.6,30.2,30.3,30.4,-0.2,60,1.687,"55,450"
93,EASTRNLUB,380,383,380,381.6,388.8,-8.8,11,0.147,386
94,EBL,28.4,28.7,28.2,28.3,28.5,-0.1,50,9.909,"350,112"
95,EBL1STMF,5,5,4.9,5,4.9,0.1,12,0.023,"4,706"
96,EBLNRBMF,4.4,4.5,4.4,4.4,4.4,0,5,0.092,"20,945"
97,ECABLES,117.4,120,117,119,118.6,-1.2,23,0.318,"2,675"
98,EHL,40,40.2,39.5,39.7,40,0,198,4.96,"124,217"
99,EMERALDOIL,38.6,41.4,38.6,38.8,38.7,-0.1,83,3.268,"83,721"
100,ENVOYTEX,52.4,52.9,51.9,52.5,52.6,-0.2,103,9.852,"188,012"
101,EXIM1STMF,6.8,6.8,6.8,6.8,6.8,0,1,0.001,100
102,EXIMBANK,10.9,11.1,10.8,10.9,11.1,-0.2,294,10.104,"925,412"
103,FAMILYTEX,18.7,18.8,18.4,18.6,18.7,0,329,14.685,"789,465"
104,FARCHEM,27.8,28.3,27.1,27.7,27.1,0.7,478,10.369,"374,013"
105,FAREASTFIN,0,0,0,15.5,15.5,--,0,0,0
106,FAREASTLIF,74.6,75,74.5,74.7,74.7,-0.1,18,0.296,"3,970"
107,FASFIN,15.7,16,15.7,15.8,15.9,-0.2,39,0.208,"13,175"
108,FBFIF,6.2,6.3,6.2,6.2,6.1,0.1,2,0.007,"1,145"
109,FEDERALINS,14.8,15,14.8,14.8,15.2,-0.4,49,0.44,"29,705"
110,FEKDIL,24.8,26.4,24.6,24.7,24.7,0.1,78,0.852,"33,680"
